image_id,file_name,box_id,true_height_cm,pred_height_cm,abs_error_cm,pred_std_cm,background_fraction,bbox_aspect_ratio,primary_error_category
img-00004,17744301993284573787410288776325-7480244a.jpg,box-002,68.0,105.68313980102539,37.68313980102539,0.5828951652748807,0.6038640328780416,0.5021645021645021,early-stage sparse structure
img-00004,17744301993284573787410288776325-7480244a.jpg,box-003,70.0,84.52350234985352,14.523502349853516,2.4780437680226313,0.5978408475121495,0.4122748498999333,early-stage sparse structure
img-00004,17744301993284573787410288776325-7480244a.jpg,box-004,70.0,111.74006748199463,41.74006748199463,0.5832693051217368,0.6037739708096079,0.3563714902807775,early-stage sparse structure
img-00005,17744302091893114009473247782460-d56cdbe0.jpg,box-001,70.0,77.56115341186523,7.561153411865234,1.2698960352036806,0.6043629206220085,0.3547351524879615,early-stage sparse structure
img-00005,17744302091893114009473247782460-d56cdbe0.jpg,box-002,54.0,142.89008903503418,88.89008903503418,0.9318121238432624,0.6076009825327511,0.8384279475982532,early-stage sparse structure
img-00005,17744302091893114009473247782460-d56cdbe0.jpg,box-003,50.0,79.22209167480469,29.222091674804688,1.3114272716329143,0.5789489798417713,0.42369020501138954,early-stage sparse structure
img-00005,17744302091893114009473247782460-d56cdbe0.jpg,box-004,120.0,94.88515567779541,25.11484432220459,2.7104262640016974,0.6200819871235799,0.3286066584463625,unstable TTA prediction
img-00005,17744302091893114009473247782460-d56cdbe0.jpg,box-005,152.0,113.63816833496094,38.36183166503906,0.6007787314460895,0.5936119508808555,0.38220858895705523,residual cross-domain shift
img-00006,1774430238852960689785442958145-464106e4.jpg,box-001,70.0,72.24359512329102,2.2435951232910156,0.4033730671522337,0.6222434338937781,0.4331761006289308,early-stage sparse structure
img-00006,1774430238852960689785442958145-464106e4.jpg,box-002,138.0,106.32538414001465,31.67461585998535,2.2232173755752007,0.600396820022482,0.23933800127307447,residual cross-domain shift
img-00006,1774430238852960689785442958145-464106e4.jpg,box-003,152.0,132.21039962768555,19.789600372314453,2.2738718629395955,0.5986564445946978,0.2168118913377755,residual cross-domain shift
img-00009,17744303135233599081906654160060-ed92c39d.jpg,box-001,70.0,75.88773345947266,5.887733459472656,1.6118966578436233,0.6128649997914796,0.4260737362219688,early-stage sparse structure
img-00009,17744303135233599081906654160060-ed92c39d.jpg,box-002,152.0,111.54335117340088,40.45664882659912,1.1366019595830694,0.600279781431023,0.3619262603461249,residual cross-domain shift
img-00015,17744303589887365481729323921052-f269cae6.jpg,box-001,97.0,76.87098598480225,20.129014015197754,1.5488611043077165,0.6134943841718361,0.5052878965922444,residual cross-domain shift
img-00046,17744321704682538679914940279603-e0a1da2d.jpg,box-001,135.0,166.87055015563965,31.87055015563965,6.355664837605676,0.6845036103968467,0.15885860306643954,bbox ambiguity
img-00046,17744321704682538679914940279603-e0a1da2d.jpg,box-002,70.0,112.25193786621094,42.25193786621094,3.380606132829912,0.6391684394261714,0.3421516754850088,early-stage sparse structure
img-00046,17744321704682538679914940279603-e0a1da2d.jpg,box-003,159.0,149.7271022796631,9.272897720336914,4.478137174122296,0.6312273912867201,0.17407639323731997,bbox ambiguity
img-00046,17744321704682538679914940279603-e0a1da2d.jpg,box-004,122.0,151.5016574859619,29.501657485961914,3.622238141036687,0.6171156124141199,0.1857379767827529,unstable TTA prediction
img-00046,17744321704682538679914940279603-e0a1da2d.jpg,box-005,135.0,137.42191886901855,2.4219188690185547,0.9966441455731467,0.607418157261225,0.1289889150151159,bbox ambiguity
img-00046,17744321704682538679914940279603-e0a1da2d.jpg,box-006,88.0,122.48732566833496,34.48732566833496,4.114535884377863,0.6753098467697051,0.5046267735965454,unstable TTA prediction
img-00047,17744321793357439543515068175302-a13e2949.jpg,box-001,70.0,129.645733833313,59.64573383331299,1.3370799760466878,0.60765463399379,0.7064606741573034,early-stage sparse structure
img-00047,17744321793357439543515068175302-a13e2949.jpg,box-002,30.0,118.15567111968994,88.15567111968994,2.0595422720099608,0.6182190727721361,0.5919540229885057,early-stage sparse structure
